Sector,Name,Market Weight
Technology,Software - Infrastructure,30.18
Technology,Semiconductors,23.44
Technology,Consumer Electronics,18.42
Technology,Software - Application,12.83
Technology,Information Technology Services,5.18
Technology,Semiconductor Equipment & Materials,2.82
Technology,Communication Equipment,2.23
Technology,Computer Hardware,1.95
Technology,Electronic Components,1.34
Technology,Scientific & Technical Instruments,1.06
Technology,Solar,0.38
Technology,Electronics & Computer Distribution,0.18
Financial Services,Banks - Diversified,18.92
Financial Services,Credit Services,16.9
Financial Services,Asset Management,13.97
Financial Services,Insurance - Diversified,12.26
Financial Services,Banks - Regional,9.09
Financial Services,Capital Markets,7.38
Financial Services,Financial Data & Stock Exchanges,6.51
Financial Services,Insurance - Property & Casualty,5.81
Financial Services,Insurance Brokers,3.52
Financial Services,Insurance - Life,2.86
Financial Services,Insurance - Specialty,0.96
Financial Services,Mortgage Finance,0.75
Financial Services,Insurance - Reinsurance,0.57
Financial Services,Shell Companies,0.42
Financial Services,Financial Conglomerates,0.1
Healthcare,Drug Manufacturers - General,33.99
Healthcare,Healthcare Plans,13.69
Healthcare,Medical Devices,12.79
Healthcare,Biotechnology,11.51
Healthcare,Diagnostics & Research,11.03
Healthcare,Medical Instruments & Supplies,6.69
Healthcare,Drug Manufacturers - Specialty & Generic,2.94
Healthcare,Medical Care Facilities,2.75
Healthcare,Medical Distribution,2.29
Healthcare,Health Information Services,2.02
Healthcare,Pharmaceutical Retailers,0.29
Consumer Cyclical,Internet Retail,31.67
Consumer Cyclical,Auto Manufacturers,14.26
Consumer Cyclical,Restaurants,9.15
Consumer Cyclical,Home Improvement Retail,7.98
Consumer Cyclical,Travel Services,5.01
Consumer Cyclical,Specialty Retail,4.73
Consumer Cyclical,Apparel Retail,4.37
Consumer Cyclical,Footwear & Accessories,3.48
Consumer Cyclical,Residential Construction,3.2
Consumer Cyclical,Auto Parts,2.44
Consumer Cyclical,Lodging,2.35
Consumer Cyclical,Packaging & Containers,2.29
Consumer Cyclical,Resorts & Casinos,1.78
Consumer Cyclical,Gambling,1.39
Consumer Cyclical,Auto & Truck Dealerships,1.27
Consumer Cyclical,Apparel Manufacturing,0.96
Consumer Cyclical,Leisure,0.94
Consumer Cyclical,Personal Services,0.8
Consumer Cyclical,"Furnishings, Fixtures & Appliances",0.71
Consumer Cyclical,Recreational Vehicles,0.55
Consumer Cyclical,Luxury Goods,0.34
Consumer Cyclical,Department Stores,0.29
Consumer Cyclical,Textile Manufacturing,0.05
Industrials,Specialty Industrial Machinery,17.97
Industrials,Aerospace & Defense,15.19
Industrials,Railroads,9.21
Industrials,Farm & Heavy Construction Machinery,7.25
Industrials,Building Products & Equipment,6.18
Industrials,Specialty Business Services,5.33
Industrials,Integrated Freight & Logistics,4.96
Industrials,Industrial Distribution,4.1
Industrials,Waste Management,4.02
Industrials,Conglomerates,3.95
Industrials,Staffing & Employment Services,3.51
Industrials,Engineering & Construction,3.37
Industrials,Rental & Leasing Services,2.51
Industrials,Trucking,2.26
Industrials,Consulting Services,2.21
Industrials,Electrical Equipment & Parts,1.94
Industrials,Airlines,1.74
Industrials,Tools & Accessories,1.33
Industrials,Security & Protection Services,0.8
Industrials,Pollution & Treatment Controls,0.69
Industrials,Marine Shipping,0.55
Industrials,Metal Fabrication,0.54
Industrials,Airports & Air Services,0.23
Industrials,Business Equipment & Supplies,0.1
Industrials,Infrastructure Operations,0.07
Communication Services,Internet Content & Information,65.88
Communication Services,Telecom Services,17.85
Communication Services,Entertainment,12.86
Communication Services,Electronic Gaming & Multimedia,1.93
Communication Services,Advertising Agencies,0.95
Communication Services,Broadcasting,0.31
Communication Services,Publishing,0.22
Consumer Defensive,Discount Stores,29.2
Consumer Defensive,Beverages - Non-Alcoholic,20.68
Consumer Defensive,Household & Personal Products,20.65
Consumer Defensive,Packaged Foods,8.29
Consumer Defensive,Tobacco,6.75
Consumer Defensive,Confectioners,4.42
Consumer Defensive,Beverages - Wineries & Distilleries,2.37
Consumer Defensive,Food Distribution,2.19
Consumer Defensive,Farm Products,2.14
Consumer Defensive,Grocery Stores,1.86
Consumer Defensive,Education & Training Services,0.9
Consumer Defensive,Beverages - Brewers,0.55
Energy,Oil & Gas Integrated,36.43
Energy,Oil & Gas E&P,24.74
Energy,Oil & Gas Midstream,20.97
Energy,Oil & Gas Refining & Marketing,8.19
Energy,Oil & Gas Equipment & Services,7.18
Energy,Uranium,1.16
Energy,Oil & Gas Drilling,0.96
Energy,Thermal Coal,0.37
Basic Materials,Specialty Chemicals,43.6
Basic Materials,Gold,12.11
Basic Materials,Building Materials,9.53
Basic Materials,Steel,9.12
Basic Materials,Copper,8.01
Basic Materials,Agricultural Inputs,6.96
Basic Materials,Chemicals,4.57
Basic Materials,Other Industrial Metals & Mining,2.23
Basic Materials,Lumber & Wood Production,1.47
Basic Materials,Coking Coal,0.86
Basic Materials,Aluminum,0.63
Basic Materials,Other Precious Metals & Mining,0.51
Basic Materials,Paper & Paper Products,0.2
Basic Materials,Silver,0.18
Real Estate,REIT - Specialty,25.37
Real Estate,REIT - Industrial,18.82
Real Estate,REIT - Retail,12.84
Real Estate,REIT - Residential,12.24
Real Estate,Real Estate Services,7.38
Real Estate,REIT - Healthcare Facilities,7.36
Real Estate,REIT - Office,4.61
Real Estate,REIT - Diversified,4.14
Real Estate,REIT - Mortgage,3.67
Real Estate,REIT - Hotel & Motel,2.84
Real Estate,Real Estate - Diversified,0.5
Real Estate,Real Estate - Development,0.24
Utilities,Utilities - Regulated Electric,71.07
Utilities,Utilities - Diversified,8.36
Utilities,Utilities - Renewable,8.05
Utilities,Utilities - Regulated Gas,5.77
Utilities,Utilities - Regulated Water,3.99
Utilities,Utilities - Independent Power Producers,2.76
